CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxNesting,RatioCommentToCode,number of parameter,"number of parameter without *args, **kargs",lineno,DOC,class
27,3,19,7,15,5,1,0,16,6,13,1,1,1,1,0,0.26,1,1,116,3,0
36,4,20,8,16,12,6,1,17,7,14,4,4,5,4,1,0.6,2,0,348,3,0
84,12,34,11,29,38,1,0,28,10,24,1,1,1,1,0,1.12,1,1,389,3,0
33,5,12,5,8,16,1,0,9,4,6,1,1,1,1,0,1.33,1,1,125,3,0
80,11,27,9,21,42,4,1,21,6,17,3,3,3,1,1,1.56,2,2,442,3,0
28,4,24,5,20,0,1,0,23,4,20,1,1,1,1,0,0,1,1,443,3,0
66,12,42,16,38,13,5,1,36,16,32,4,4,4,1,1,0.31,1,1,49,3,0
50,9,39,19,28,2,1,0,33,18,22,1,1,1,1,0,0.05,1,1,141,3,0
118,19,82,23,78,17,5,1,67,22,64,5,5,6,1,4,0.21,1,1,1597,3,1
12,0,12,3,10,0,1,0,11,3,9,1,1,1,1,0,0,1,1,586,3,0
104,21,26,14,20,57,2,0,24,14,18,2,2,2,1,1,2.19,3,3,834,3,0
17,3,14,5,10,0,1,0,13,5,9,1,1,1,1,0,0,2,2,56,3,0
17,3,14,5,10,0,1,0,13,5,9,1,1,1,1,0,0,2,2,56,3,0
13,0,13,5,10,0,1,0,11,5,8,1,1,1,1,0,0,1,0,42,3,0
17,2,15,6,12,0,1,0,13,6,10,1,1,1,1,0,0,1,0,57,3,0
15,2,13,5,10,0,1,0,12,5,9,1,1,1,1,0,0,1,0,86,3,0
16,2,14,6,11,0,1,0,13,6,10,1,1,1,1,0,0,1,0,70,3,0
19,2,17,4,14,0,1,0,12,4,9,1,1,1,1,0,0,1,1,88,3,0
14,2,12,5,9,0,1,0,10,5,7,1,1,1,1,0,0,2,0,131,3,0
17,2,15,6,12,0,1,0,13,6,10,1,1,1,1,0,0,1,0,147,3,0
17,2,15,6,12,0,1,0,13,6,10,1,1,1,1,0,0,1,0,166,3,0
18,2,16,6,13,0,1,0,13,6,10,1,1,1,1,0,0,2,1,185,3,0
14,2,12,4,9,0,1,0,10,4,7,1,1,1,1,0,0,1,0,205,3,0
12,2,10,4,7,0,1,0,9,4,6,1,1,1,1,0,0,1,0,221,3,0
26,2,24,9,21,0,1,0,20,9,17,1,1,1,1,0,0,4,3,235,3,0
44,2,24,7,21,19,1,0,23,6,20,1,1,1,1,0,0.79,5,5,43,3,0
53,4,39,5,36,24,1,0,20,5,17,1,1,1,1,0,0.62,1,1,1003,3,0
23,5,15,4,12,3,1,0,13,4,10,1,1,1,1,1,0.2,2,2,79,3,0
14,3,10,6,4,1,1,0,8,4,4,1,1,1,1,0,0.1,0,0,72,3,0
75,14,30,10,24,31,1,0,25,10,19,1,1,1,1,0,1.03,2,2,99,3,0
51,8,16,5,12,27,4,1,14,5,10,3,3,3,1,1,1.69,2,2,175,3,0
55,7,26,7,22,22,1,0,21,7,17,1,1,1,1,0,0.85,1,1,227,3,0
71,12,28,10,22,31,1,0,25,10,19,1,1,1,1,0,1.11,2,2,156,3,0
597,93,416,69,403,98,24,1,227,69,214,6,6,7,1,2,0.24,2,2,383,3,1
117,21,84,22,75,12,2,0,50,22,41,2,2,2,1,1,0.14,1,1,2203,3,1
75,14,30,10,24,31,1,0,25,10,19,1,1,1,1,0,1.03,2,2,90,3,0
52,8,17,6,12,27,4,1,15,6,10,3,3,3,1,1,1.59,2,2,167,3,0
52,7,23,7,18,22,1,0,19,6,14,1,1,1,1,0,0.96,1,1,220,3,0
30,4,16,4,13,10,1,0,14,4,11,1,1,1,1,0,0.62,1,1,322,3,0
105,19,43,12,35,43,1,0,34,9,29,1,1,1,1,0,1,6,6,140,3,0
286,54,174,50,153,61,21760,4,151,48,132,21,21,27,14,3,0.35,12,12,2697,3,1
70,15,39,13,35,16,384,3,35,12,32,10,10,10,1,2,0.41,7,7,3265,3,0
63,6,57,16,50,4,4,1,49,16,42,4,4,5,1,3,0.07,4,4,254,3,0
60,11,13,6,10,36,1,0,9,6,6,1,1,1,1,0,2.77,4,4,59,3,0
311,31,242,76,234,46,1536,3,175,75,167,12,12,14,3,1,0.19,3,3,824,3,1
38,4,21,6,17,14,2,0,20,5,16,2,2,2,1,1,0.67,3,3,29,3,0
32,7,25,13,22,0,1,0,25,13,22,1,1,1,1,0,0,0,0,1244,3,0
15,2,13,5,10,0,1,0,12,5,9,1,1,1,1,0,0,1,1,44,3,0
27,3,22,11,16,2,2,0,17,8,14,2,2,2,1,1,0.09,1,1,174,3,0
19,1,14,9,9,4,2,0,12,7,9,2,2,2,1,1,0.29,4,4,148,3,0
23,3,19,6,15,1,1,0,10,6,6,1,1,1,1,0,0.05,1,1,526,3,0
47,5,34,9,29,8,12,1,20,9,15,5,5,5,1,2,0.24,1,1,242,3,0
26,1,18,9,13,7,1,0,15,8,11,1,1,1,1,0,0.39,3,3,11,3,0
22,1,17,7,14,4,5,1,17,7,14,5,5,7,4,2,0.24,2,2,121,3,0
33,3,22,9,18,8,3,0,18,8,15,3,3,3,3,1,0.36,4,4,102,3,0
26,2,17,8,13,7,1,0,11,7,8,1,1,1,1,0,0.41,5,5,144,3,0
22,2,17,7,12,3,1,0,15,6,11,1,1,1,1,0,0.18,2,2,269,3,0
52,6,34,8,30,13,2,0,22,8,18,2,2,2,1,1,0.38,2,0,6,3,0
9,0,9,5,5,0,1,0,8,4,5,1,1,1,1,0,0,1,0,39,3,0
33,5,11,4,7,17,1,0,9,3,6,1,1,1,1,0,1.55,1,0,6,3,0
38,5,16,4,12,17,1,0,10,3,7,1,1,1,1,0,1.06,1,0,41,3,0
25,2,15,4,11,8,1,0,9,3,6,1,1,1,1,0,0.53,1,1,23,3,0
19,2,9,5,5,8,1,0,8,4,5,1,1,1,1,0,0.89,1,0,7,3,0
17,4,11,7,7,2,1,0,9,6,5,1,1,1,1,0,0.18,1,1,35,3,0
38,4,24,7,20,10,1,0,24,6,20,1,1,1,1,0,0.42,1,1,973,3,0
43,3,30,11,25,10,1,0,30,9,25,1,1,1,1,0,0.33,1,1,1012,3,1
36,10,26,18,12,0,1,0,24,17,12,1,1,1,1,0,0,1,1,240,3,0
48,10,35,10,32,3,1,0,29,10,26,1,1,1,1,0,0.09,1,1,228,3,0
70,10,42,8,37,18,2,0,22,7,19,2,2,2,1,1,0.43,3,1,18,3,0
24,2,17,5,14,5,1,0,15,5,12,1,1,1,1,0,0.29,1,1,59,3,0
3,0,3,1,2,0,2,0,3,1,2,2,2,2,1,1,0,1,1,39,2,0
15,1,14,4,12,0,3,0,11,4,9,3,3,3,1,1,0,3,3,579,2,0
77,8,64,30,49,5,96,2,37,18,34,8,8,8,1,2,0.08,13,13,1568,2,0
234,35,140,54,136,59,16800,4,127,54,123,21,21,21,8,4,0.42,3,3,1757,2,0
95,5,69,19,67,26,2,0,59,19,57,2,2,2,1,1,0.38,5,5,635,2,0
23,5,15,4,12,3,1,0,13,4,10,1,1,1,1,1,0.2,2,2,79,3,0
21,3,18,8,12,0,1,0,19,8,12,1,1,1,1,0,0,1,1,8,4,1
20,3,13,7,7,4,1,0,12,6,7,1,1,1,1,0,0.31,1,1,31,4,1
6,0,6,2,4,0,2,0,6,2,4,2,2,2,1,1,0,1,1,771,2,0
36,0,26,8,24,10,6,1,20,8,18,4,4,4,1,2,0.38,4,4,8,2,0
53,11,21,7,17,21,2,0,17,7,13,2,2,3,1,1,1,2,0,100,4,1
29,5,17,8,15,8,1,0,17,8,15,1,1,1,1,0,0.47,2,2,54,2,0
11,0,11,6,9,0,1,0,11,6,9,1,1,1,1,0,0,1,1,27,2,0
13,2,11,6,9,0,4,1,10,6,8,3,3,3,1,1,0,3,3,30,2,0
9,1,8,2,6,0,1,0,8,2,6,1,1,1,1,0,0,1,1,31,2,0
12,3,9,5,7,0,2,0,9,5,7,2,2,2,1,1,0,1,1,46,2,0
10,2,7,3,5,1,2,0,7,3,5,2,2,2,1,1,0.14,1,1,1312,2,0
17,1,11,5,8,5,1,0,10,5,7,1,1,1,1,0,0.45,3,1,40,2,0
33,3,23,7,21,7,8,1,17,7,15,4,4,5,3,1,0.3,3,3,543,2,0
74,5,47,11,39,22,4,1,34,9,28,3,3,3,1,1,0.47,2,2,20,4,1
38,1,35,10,30,2,1,0,33,8,29,1,1,1,1,0,0.06,1,1,133,4,1
54,10,25,9,20,19,1,0,20,8,16,1,1,1,1,0,0.76,2,2,56,4,1
40,2,31,11,24,7,1,0,29,10,23,1,1,1,1,0,0.23,1,1,33,4,1
17,0,10,4,6,7,1,0,10,4,6,1,1,1,1,0,0.7,1,1,10,4,1
29,0,29,8,25,0,1,0,29,7,25,1,1,1,1,0,0,1,1,62,4,1
15,0,12,5,8,3,1,0,11,4,8,1,1,1,1,0,0.25,2,1,49,3,0
15,1,11,5,9,3,1,0,11,5,9,1,1,1,1,0,0.27,5,3,6,2,0
26,0,19,6,15,7,4,1,11,5,9,3,3,3,1,1,0.37,1,1,426,2,0
20,5,6,4,4,9,1,0,6,4,4,1,1,1,1,0,1.5,1,1,37,2,0
7,0,7,2,5,0,1,0,7,2,5,1,1,1,1,0,0,2,2,677,2,0
13,2,11,2,9,0,1,0,10,2,8,1,1,1,1,0,0,6,6,63,2,0
35,5,30,5,25,0,1,0,30,5,25,1,1,1,1,0,0,1,1,89,2,0
61,10,47,22,31,4,4,1,36,9,31,4,4,4,4,2,0.09,12,12,25,3,1
16,0,13,8,11,3,1,0,12,8,10,1,1,1,1,0,0.23,1,1,65,2,0
25,7,17,12,14,1,1,0,17,12,14,1,1,1,1,0,0.06,0,0,28,2,0
14,4,10,4,9,0,4,1,12,4,10,4,4,4,4,1,0,1,1,108,2,0
6,0,6,2,4,0,1,0,4,2,2,1,1,1,1,0,0,1,1,2319,2,0
17,2,15,5,11,0,2,0,13,5,9,2,2,2,1,1,0,3,1,286,3,0
9,0,9,5,6,0,2,0,8,5,5,2,2,2,1,1,0,3,1,955,3,0
91,12,68,16,66,11,504,3,53,16,51,15,15,17,3,3,0.16,1,1,61,2,0
69,1,54,10,52,14,7,1,44,10,42,7,7,12,5,2,0.26,1,1,107,2,0
117,14,60,15,54,43,2,0,27,10,25,2,2,2,1,1,0.72,11,11,1438,2,0
37,4,30,5,28,3,90,2,30,5,28,10,10,10,1,3,0.1,3,3,815,2,0
45,5,29,7,25,14,4,1,21,7,17,3,3,3,1,1,0.48,2,2,13,2,0
71,12,39,16,34,21,1,0,35,16,30,1,1,1,1,0,0.54,4,4,25,4,1
6,0,6,3,3,0,1,0,6,3,3,1,1,1,1,0,0,1,1,566,2,0
19,0,19,4,17,0,1,0,9,4,7,1,1,1,1,0,0,1,1,391,2,0
14,0,14,5,10,0,1,0,9,4,6,1,1,1,1,0,0,1,1,15,3,0
18,2,16,6,12,0,1,0,12,5,10,1,1,1,1,0,0,1,1,66,2,0
5,0,5,3,2,0,1,0,4,2,2,1,1,1,1,0,0,1,1,112,2,0
7,0,6,4,4,1,1,0,6,4,4,1,1,1,1,0,0.17,1,1,74,2,0
7,0,6,4,4,1,1,0,6,4,4,1,1,1,1,0,0.17,1,1,82,2,0
14,3,11,6,7,1,1,0,11,6,7,1,1,1,1,0,0.09,1,1,22,4,1
17,3,14,7,9,2,1,0,14,7,9,1,1,1,1,0,0.14,1,1,51,5,1
12,2,10,6,6,1,1,0,10,6,6,1,1,1,1,0,0.1,1,1,98,4,1
19,3,14,8,9,4,1,0,14,8,9,1,1,1,1,0,0.29,1,1,111,4,1
15,2,13,6,9,0,1,0,13,6,9,1,1,1,1,0,0,1,1,464,4,1
15,0,15,7,11,0,1,0,15,7,11,1,1,1,1,0,0,0,0,46,4,1
55,5,38,10,32,12,1,0,31,9,26,1,1,1,1,0,0.32,2,2,218,5,1